valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.239,2018,0.00881,['6LACK'],0.792,261703,0.605,1,6lJ5aSxKHCwNBoWkZT3JeJ,4.25E-05,2,0.104,-6.566,1,Cutting Ties,60,14/02/2018,0.0393,139.917
0.504,2018,0.0932,['The Seige'],0.477,248880,0.859,1,4ePKbzLwkIBslceokt2iXZ,0,6,0.71,-3.649,1,I Am Defiant,63,23/04/2018,0.264,125.044
0.787,2018,0.00889,['Earl Sweatshirt'],0.377,141000,0.506,1,2LQb3iYBzoxbxct2IexjBc,1.15E-06,11,0.482,-4.773,0,Shattered Dreams,59,30/11/2018,0.157,145.254
0.759,2018,0.0918,['Los Hijos De Garcia'],0.805,185045,0.812,0,36m0b1aad6A4CXq41VYxDe,4.34E-05,2,0.104,-6.353,1,18 Libras,59,09/02/2018,0.0839,114.982
0.22,2018,0.544,['Brandi Carlile'],0.577,241147,0.53,0,0hoRmVUp5cZ1empu0nSHU8,3.29E-06,7,0.103,-6.749,1,Every Time I Hear That Song,59,16/02/2018,0.0312,85.471
0.86,2018,0.0696,['Kali Uchis'],0.853,186181,0.604,0,54IbnYEdA3ymfxv07WgN3b,1.65E-06,3,0.135,-5.794,0,Your Teeth In My Neck,60,06/04/2018,0.0511,116
0.277,2018,0.806,['Alec Benjamin'],0.771,210354,0.518,0,0IrtQ83z9jylZaLEJK2eoy,2.48E-05,4,0.104,-7.582,0,Gotta Be A Reason,61,16/11/2018,0.0404,79.997
0.116,2018,0.00251,['grandson'],0.529,231213,0.686,0,7a1D98IVXyVBKsq40imjyg,0.0965,4,0.22,-5.869,0,Overdose,58,15/06/2018,0.0579,144.033
0.252,2018,0.0307,['RM'],0.389,271806,0.591,0,5fCDWDX2Kv9jc1s7nZfzOi,6.53E-05,7,0.392,-8.437,1,forever rain,65,22/10/2018,0.0622,138.902
0.227,2018,0.826,['SwuM'],0.493,151579,0.441,0,2g6WTGWNYGnRCBaWEzFE00,0.681,5,0.122,-8.547,0,スモーク,61,31/01/2018,0.0572,76.001
0.145,2018,0.133,['Drake'],0.555,136187,0.596,1,2yg9UN4eo5eMVJ7OB4RWj3,0,9,0.123,-9.09,0,Survival,61,29/06/2018,0.375,77.324
0.546,2018,0.763,['Lauv'],0.433,165102,0.554,0,05fmLn8tNYb3ijIH2jCLPb,0,9,0.0903,-5.629,0,Comfortable,63,31/05/2018,0.165,140.235
0.0376,2018,0.97,['Barnes Blvd.'],0.352,161239,0.238,0,6okflAl3X7elXPx7MgJMi6,0.586,0,0.0664,-18.408,1,I Have Love for Everyone Besides Myself.,61,08/05/2018,0.1,72.649
0.501,2018,0.0508,['Lil Skies'],0.779,167442,0.591,1,5cEbtwig1FXW8RF6FSxRU1,0,8,0.1,-8.504,1,Opps Want Me Dead,59,28/11/2018,0.344,86.02
0.528,2018,0.00585,['Luke Combs'],0.544,221800,0.781,0,7ElHqs46U65NOaSwha2eMv,0,6,0.191,-6.16,0,One Number Away,57,01/06/2018,0.0311,144.072
0.214,2018,0.0168,"['Boombox Cartel', 'Nessly']",0.706,243692,0.935,0,5LCaw96SsbpHAQFAcbFwbI,4.62E-05,6,0.106,-2.418,1,Moon Love,59,16/03/2018,0.0565,130.001
0.9,2018,0.0534,"['Raymix', 'Juanes']",0.826,252947,0.642,0,5aLELbBB0Pa7TlGJJyBJo9,1.18E-06,4,0.121,-5.186,0,Oye Mujer,62,24/04/2018,0.0619,90.991
0.0701,2018,0.739,"['Golden Vessel', 'Emerson Leif']",0.406,251279,0.53,0,6PmsHVre2N9yOjDge00r9c,0.0161,2,0.108,-9.556,1,Hesitate,60,15/01/2018,0.045,122.773
0.272,2018,0.415,['Nao'],0.452,209467,0.317,0,48WTGGIeSFD5ZMF51Rm4Y9,1.50E-05,9,0.184,-9.403,0,Another Lifetime,61,26/10/2018,0.0478,59.561
0.224,2018,0.00153,"['deadmau5', 'Rob Swire']",0.545,214671,0.747,0,2nLgWMdYPO35GGpwX2xo23,0.00397,6,0.135,-4.877,0,Monophobia,61,13/07/2018,0.0429,128.045
0.271,2018,0.0706,['Machine Gun Kelly'],0.856,193907,0.418,1,5GsDw8rD0LJ9XF4dEzUPDK,1.33E-06,1,0.0991,-9.751,1,LATELY,59,21/09/2018,0.195,149.976
0.607,2018,0.153,"['XXXTENTACION', 'PnB Rock']",0.819,109556,0.513,1,6rAGFgcGtlIdYxlhDizXNo,0,6,0.138,-9.005,0,SMASH! - feat. PnB Rock,61,16/03/2018,0.433,140.032
0.604,2018,0.21,"['Riton', 'Kah-Lo']",0.746,246970,0.862,0,4qq73N1TKocRaYGQS23b9u,0.0363,8,0.225,-6.11,1,Fake ID,66,26/10/2018,0.0776,122.011
0.899,2018,0.184,['Aminé'],0.962,117307,0.563,1,6U9OkV9oa8kN8LyBGf3wvJ,0,2,0.059,-6.372,1,BLACKJACK,60,15/08/2018,0.246,131.023
0.145,2018,0.26,['Shallou'],0.642,234228,0.551,0,2RuOeqFMhuYLVGbgGPQx2l,0.147,11,0.115,-8.411,0,You and Me,55,27/04/2018,0.13,113.079
0.394,2018,0.00366,['Sia'],0.589,212387,0.91,0,4KevTcBXEIYxXVyPE78XXm,4.87E-05,1,0.0843,-4.206,0,Candy Cane Lane,65,01/11/2018,0.0623,130.017
0.521,2018,0.000107,['Disturbed'],0.392,261680,0.976,0,4zvqMZ6g4wKZaPpOQvoBpP,0,7,0.271,-2.189,1,Are You Ready,61,18/10/2018,0.107,199.888
0.911,2018,0.325,['Matty Fresh'],0.831,166385,0.574,1,25diaIekB8iIN5oAukdFNe,0,7,0.0639,-7.107,1,Trace McSorley,55,09/08/2018,0.335,130.001
0.294,2018,0.154,['LANY'],0.711,204516,0.517,0,7GbAp0HKPQW7WnFJAzMoRk,0,11,0.149,-7.695,1,Thru These Tears,66,05/10/2018,0.0391,119.945
0.231,2018,0.0514,['Michael W. Smith'],0.483,300027,0.556,0,73u7dTjaBTMyvs3KWOThGR,0.163,10,0.0981,-8.296,1,Surrounded (Fight My Battles),59,23/02/2018,0.0323,140.001
0.156,2018,0.612,['Chance the Rapper'],0.686,218624,0.469,1,3woRy7uxzl1lO2XO99oHsN,0,1,0.121,-9.065,1,The Man Who Has Everything,59,30/11/2018,0.291,72.998
0.346,2018,0.523,"['San Holo', 'Sofie Winterson']",0.571,260903,0.688,0,7snnEDYwv30hRtmifVni8P,5.48E-05,11,0.148,-4.943,0,lift me from the ground,59,21/09/2018,0.0401,155.157
0.357,2018,0.239,['Upchurch'],0.583,169506,0.459,1,2APxijdVoN8AIrS1AuCMAT,0,9,0.111,-8.422,0,Dirty South,55,12/02/2018,0.0304,99.809
0.435,2018,0.739,['John Lennon'],0.569,242044,0.5,0,5GMQdzgtI7vtpmtps2YiYx,1.25E-06,2,0.94,-10.141,1,Beautiful Boy (Darling Boy) - 2010 Remastered,61,12/10/2018,0.0389,111.355
0.32,2018,0.162,"['City Morgue', 'ZillaKami', 'SosMula']",0.373,150267,0.862,1,5T0YyRxyxtLDxLYJhLjqWM,0,1,0.48,-1.98,1,33rd Blakk Glass,59,12/10/2018,0.0612,113.252
0.14,2018,0.143,"['RM', 'NELL']",0.467,222494,0.722,0,7DKYA93lgKbhxzqE2ojtCS,2.91E-06,5,0.128,-5.819,1,everythingoes,64,22/10/2018,0.0303,92.014
0.4,2018,0.0635,"['Playboi Carti', 'Chief Keef']",0.743,149760,0.616,1,1oNcc2isuz7d3hc1fMoHqj,0,1,0.111,-6.285,1,Mileage (feat. Chief Keef),58,11/05/2018,0.181,150.859
0.438,2018,0.366,['Francesca Battistelli'],0.529,204773,0.521,0,5U4zBRfVdqaL1kOULNtZ1T,0,7,0.296,-5.277,1,The Breakup Song,56,26/10/2018,0.0378,173.688
0.767,2018,0.0138,['j-hope'],0.706,204931,0.896,0,3xngVLz4NYEshyX3aRRXgf,0,1,0.595,-4.456,1,Hope World,66,02/03/2018,0.16,117.038
0.733,2018,0.277,['King Princess'],0.635,211413,0.496,1,7vfaRUaFBDwENwa3tzJY64,0.00634,9,0.081,-8.858,1,Upper West Side,59,15/06/2018,0.0338,141.863
0.792,2018,0.383,"['Clean Bandit', 'Sean Paul', 'Anne-Marie']",0.717,251173,0.73,0,2hrUO4drrO63i7FYbCLBl2,0,9,0.398,-4.729,0,Rockabye (feat. Sean Paul & Anne-Marie),70,30/11/2018,0.0568,102.002
0.474,2018,0.135,"['YBN Nahmir', 'YBN Almighty Jay']",0.727,180389,0.632,1,0WMgVB4OEm5JEj08lBtBgf,0,1,0.182,-8.916,1,Porsches In The Rain,58,07/09/2018,0.259,83.755
0.574,2018,0.208,['JayDaYoungan'],0.829,186149,0.577,1,5H9wMglUZwqivHCDzElAbB,0,11,0.0733,-10.602,0,Purge,56,07/12/2018,0.364,85.978
